account_id,session_key,name,url,about
04d39ffbc61f5bbc97072a9a7b2ae6cc7c520aedd47512af704cb6d6e29c62d1,0159e45dccd969378fde5237f11f12f213f7e2324c8b422ced99231fb4ed7f65,StakingLabs,www.stakinglabs.io,"Staking Labs-是你不二之選"
b1695b946241c43876d07d2a50dc7bd501ca5d7de52f44d1487c95fe8991880f,2dddecda028cd58534c2b5e96c0fb1287d0fe258a16776d75684ac59cc48f24d,XML,github.com/zjb0807,"Polkadot Chainx 生态参与者"
662e9c1111b5e9d49580dc918d661221eabd262be03cf1dc8b0892c464685307,995dcebe5e8b33ad8e635771d58bd3a830d534ccf6ea9bedbc2cd58f4781c6a7,marco,marcolin.com,"Marco is bingo."
7eb5b62f8a1e980014507db0d6c71c51a4d182bab996c7240e0b969caf589de3,9980ee00a30b34bee49efe69dc62855835539dddb7630040e64cbb05fd7f00c3,STW,http://stw.shop,"lady STW"
702854a06fe3a5799749e23298f17a2059491f39633e76101014817e0becc2d3,bf1b198616b90bd733afb5c53e84199bc801567621916a6017bc912f262253c5,NodeSoleil,http://stake.future,"staking is the future"
6c4df82c3251584832fc6caec8fcb116455d6ed1318404404e0376e401aae3bf,0771e775169b58be37cb0da5ed271963fa424208e54515e092a0bdb75603309a,BitPortal,https://www.bitportal.io/,"BitPortal 是一款多币种区块链钱包。"
e9a46e884246d95ef233197af64b9fb159fb53c790a5991f0b7a9710c7313d47,9135468e025128e758058c83753b355e11ebd9128ed4cb1063f68be9d4b951b5,WTZ_Node,www.wtz123.com,"专注于PoS 共识币种的 STAKING 服务！"
3431d1ef4f8b1b75136ce26ea9e6e0379c68d77abfa37cc5303bcb0d5ffe0c64,e7133cb9d6cffaffd2403669fc24e46bc763fbcba94240e1f5df6155ea710b0b,Wetez,www.wetez.io,"Wetez是POS领域最专业的团队，为POS带来的权益做更多赋能。"
c1dbc157526183cd13dc1f93078831911ccdcc0bd43c174849f577a67580dc78,87fac5f6d370b1e29d9902199d71ad21b1376aa6a33ec42fd927912f5eb257a7,feilun,http://t.cn/E9C429S,"作为polkadot的粉丝及参与者，见证了chainx社区的发展，希望可以让更多人接触并加入chainx生态中。"
f75d1c241c59e2a6a88efcf239df0eabb229b3697b4c844c788c9c51fcb25d2d,fd66ca95b50e83f0f6c3dfa29a6b0a7ee28b58d6bd8a58aa3f9be7b9ecd98629,HashQuark,www.hashquark.io,"HashQuark致力于创建一个安全、高效、稳定、便捷的区块链矿池。"
50d0a2e7794fa0f53a05de78a3658eb064938eec1f5876aa32d8e61c50e77648,0ff96f5399d0c0a4b2b868096d54daa9a14720f0b6d4c6ee1d6793d537c539fb,HLT,http://www.miublock.com,"Hash Lead Treasure,专业的区块链节点品牌,服务于iost,cmt等多条公链。"
dfb056b12296aec83470643cd2cb6bf63413363615bea12350e542ba433c6b37,daea2066e7b15cc5174fcfb864618230497deef2ec47ca3dd1ab5bc1122e324a,Nodeasy.com,https://www.nodeasy.com,"Nodeasy.com，助你进入Staking Economy时代！"
80269f1c8712f25eb590fc849b89c79cc9b2309b2b2696e96d5610a08581b8aa,8e8d9d40d5fffbf2b6b02b567a655b6e3e1c9851f8093f64f43ceb032c7f9ef9,MathWallet,https://mathwallet.org,"Math Wallet is a universal crypto wallet supports 18 blockchain ecosystems, cross-chain exchange and a multi-chain DApp store."
